"ID";"Gender";"Age";"Agegroups";"Income";"Region";"c_0004";"tcc";"tht";"D4_1A";"D4_1B";"CT";"v_762";"v_784";"AS_1";"AS_3";"AP_1";"AP_3";"EPS1";"EPS3";"EPP1";"EPP3";"FPS1";"FPS3";"FPP1";"FPP3";"CPS1";"CPS3";"CPP1";"CPP3";"int1";"int2";"MC1";"MC2";"UT";"D1";"AC1";"CR1";"K1_1";"K1_2";"K1_3";"K1_4";"K1_5";"K1_6";"K1_7";"K1_8";"K1_9";"SN_1";"SN_2";"SN_3";"SNN_2";"WB5";"DN_1";"DN_2";"DN_7";"SO1_3";"CCD_1";"CCD_2";"CCD_3";"SD4";"SD9_1";"SD9_2";"SD9_2a";"SD9_3";"PO1";"PO2";"PO3";"PO4";"PO5";"income_detailed";"SDS_1";"SDS_2";"SDS_3";"SDS_4";"SDS_5";"SDS_6";"SDS_7";"SD5"
13;1;44;2;4;15;2;100;0;6;6;1;1;-77;2;4;1;4;3;4;3;4;3;3;3;3;4;2;3;2;6;6;3;3;2;2;8;5;3;3;3;1;1;2;2;4;1;1;2;2;5;4;1;1;1;4;2;3;2;5;0;0;0;4;4;4;4;4;4;6;1;4;4;2;5;7;2;1
18;1;76;4;3;8;1;85;100;5;5;1;1;1;2;5;2;5;3;1;5;4;2;5;2;5;3;3;2;3;5;5;4;4;6;3;8;1;2;2;2;3;3;2;3;4;2;4;4;4;3;2;1;1;1;4;1;2;2;4;0;0;0;2;3;5;1;4;5;5;2;3;4;2;5;4;1;7
19;2;64;4;5;12;1;59;67;5;5;1;1;1;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;5;5;3;3;3;2;8;1;2;2;2;2;2;2;2;2;2;3;3;2;3;3;1;1;1;4;3;3;3;5;0;0;0;2;99;99;99;99;99;9;7;6;7;2;7;6;1;7
20;2;67;4;5;9;1;81;95;6;5;1;1;1;4;5;3;3;2;1;3;3;4;5;2;5;4;3;2;3;5;6;4;4;6;2;8;1;2;3;3;3;2;1;3;3;2;3;4;4;2;4;1;1;1;4;1;1;1;5;-99;-99;-99;2;4;4;2;4;4;13;4;3;4;2;5;5;1;3
33;2;58;3;2;4;1;55;68;5;5;1;1;1;2;5;1;4;1;4;3;3;1;5;1;4;3;3;2;3;4;6;3;3;6;3;8;1;2;2;2;1;1;1;1;1;1;1;2;2;2;4;1;1;1;4;2;2;2;5;-99;1;-99;2;3;4;4;4;4;4;2;4;3;2;4;6;4;2
47;2;62;4;3;4;1;76;93;4;4;1;1;1;1;1;2;2;2;1;2;2;1;1;2;2;1;3;1;1;4;4;3;4;3;2;8;1;4;2;4;3;1;2;3;4;2;1;3;1;4;3;1;1;1;4;1;1;1;3;-99;-99;-99;2;4;4;2;4;4;5;1;5;6;2;6;7;1;1
54;2;65;4;5;5;1;94;112;2;4;1;1;1;4;5;4;5;4;4;4;4;3;5;3;5;3;2;3;2;3;4;4;4;3;3;8;1;3;3;3;3;1;3;4;3;3;3;3;1;4;4;1;1;1;4;2;3;3;3;-99;-99;-99;5;4;3;3;3;4;8;3;5;4;2;4;3;5;5
55;1;59;3;5;9;1;90;104;6;5;1;1;1;1;5;1;5;1;3;1;3;1;5;1;3;3;3;3;3;6;4;4;3;5;2;8;4;1;1;1;1;1;1;3;3;1;2;3;3;4;3;1;1;1;3;3;3;3;4;0;0;-99;3;1;1;1;1;1;10;3;5;5;2;5;6;2;1
61;1;62;4;2;5;1;61;76;5;5;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;4;4;4;3;2;8;1;3;3;4;4;3;3;3;3;3;4;4;4;4;4;1;2;1;4;1;1;2;3;-99;-99;-99;3;4;4;3;4;4;99;2;6;6;2;6;6;2;7
63;1;48;3;4;20;1;86;99;3;4;1;1;1;4;5;4;5;2;2;4;4;4;5;4;5;3;3;2;2;3;4;5;5;3;3;8;1;4;4;3;3;3;4;4;4;4;2;4;2;1;2;1;1;1;4;1;1;1;3;-99;-99;-99;2;2;4;1;4;5;7;6;3;5;2;4;4;5;1
69;1;68;4;1;13;1;103;128;2;3;1;1;1;2;5;1;5;1;5;1;5;1;5;1;5;1;2;1;2;3;5;5;5;3;3;8;1;4;4;4;4;4;4;4;4;4;1;3;5;3;3;3;4;3;4;1;1;1;3;-99;-99;-99;2;5;5;1;3;5;3;6;6;6;4;6;6;5;7
