"ID";"Gender";"Age";"Agegroups";"Income";"Region";"c_0004";"tcc";"tht";"D4_1A";"D4_1B";"CT";"v_762";"v_784";"AS_1";"AS_3";"AP_1";"AP_3";"EPS1";"EPS3";"EPP1";"EPP3";"FPS1";"FPS3";"FPP1";"FPP3";"CPS1";"CPS3";"CPP1";"CPP3";"int1";"int2";"MC1";"MC2";"UT";"D1";"AC1";"CR1";"K1_1";"K1_2";"K1_3";"K1_4";"K1_5";"K1_6";"K1_7";"K1_8";"K1_9";"SN_1";"SN_2";"SN_3";"SNN_2";"WB5";"DN_1";"DN_2";"DN_7";"SO1_3";"CCD_1";"CCD_2";"CCD_3";"SD4";"SD9_1";"SD9_2";"SD9_2a";"SD9_3";"PO1";"PO2";"PO3";"PO4";"PO5";"income_detailed";"SDS_1";"SDS_2";"SDS_3";"SDS_4";"SDS_5";"SDS_6";"SDS_7";"SD5"
11;1;61;4;5;3;1;263;301;6;1;1;1;1;3;5;2;4;3;4;4;4;3;5;2;4;4;3;4;3;6;1;3;4;4;2;8;5;3;2;2;2;2;NA;2;3;2;4;4;2;1;4;1;1;1;4;2;2;2;5;-99;-99;-99;3;4;4;3;2;4;11;5;5;5;2;3;6;5;1
13;2;76;4;1;1;1;211;232;4;4;1;1;1;1;4;1;4;1;3;1;3;1;3;1;3;3;3;3;3;4;4;3;3;5;2;8;1;2;2;3;2;2;2;2;2;2;3;3;3;3;4;4;4;4;5;2;4;2;5;0;0;0;1;3;3;3;3;3;1;4;3;6;2;7;6;5;7
17;1;56;3;4;6;2;51;0;8;6;1;1;-77;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;8;7;3;3;1;1;8;2;1;1;1;1;1;1;1;1;1;1;1;1;5;4;1;1;1;4;4;4;5;5;0;0;0;2;5;5;3;2;3;9;5;4;5;2;5;4;6;1
20;1;64;4;4;3;1;139;184;6;6;1;1;1;4;4;4;4;3;4;4;4;4;4;5;4;3;2;4;2;4;5;4;4;3;2;8;3;3;3;2;2;2;3;3;3;3;3;NA;NA;4;4;1;1;1;4;2;2;2;5;-99;-99;-99;2;5;4;4;3;4;7;4;3;5;2;5;6;5;1
25;1;40;2;5;3;1;111;135;6;6;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;6;6;2;2;4;2;8;5;1;1;2;1;1;1;1;1;1;3;2;2;4;2;1;1;1;4;2;2;2;5;1;-99;1;2;4;3;3;3;3;11;4;4;3;2;5;4;4;1
26;1;67;4;5;6;2;121;0;4;6;1;1;-77;2;5;2;5;2;5;2;5;2;5;2;5;5;2;5;2;3;5;4;4;2;2;8;1;3;2;3;3;2;2;2;2;2;3;3;3;4;3;1;1;1;4;2;2;2;5;0;0;0;1;3;4;3;1;3;9;4;3;4;2;5;5;4;7
28;1;76;4;4;3;2;59;0;4;5;1;1;-77;4;4;2;3;3;4;2;2;4;4;2;2;4;2;4;2;3;4;4;4;4;3;8;2;4;3;4;4;4;3;3;4;4;4;4;3;4;4;1;1;1;4;1;2;1;5;0;0;0;2;5;4;4;99;4;7;5;3;5;5;4;5;5;7
30;2;68;4;1;5;1;112;129;6;6;3;1;1;2;5;1;5;2;4;1;5;1;5;1;5;4;2;4;2;6;6;2;3;2;2;8;2;1;1;1;2;1;1;1;1;1;1;1;1;4;1;1;1;1;4;4;5;4;5;-99;-99;-99;2;99;99;99;99;99;1;7;5;7;2;2;3;5;7
33;1;57;3;5;3;1;120;138;5;5;1;1;1;2;4;1;4;2;4;2;4;2;4;2;4;4;2;4;3;4;4;2;3;3;2;8;3;3;3;2;2;2;3;2;2;2;2;2;2;4;3;1;1;1;4;2;2;2;3;0;0;0;2;4;4;4;4;4;10;4;4;5;2;6;5;5;1
35;1;65;4;4;1;1;85;99;6;6;1;1;1;4;5;4;5;3;3;4;3;4;3;4;4;4;3;4;4;6;6;2;2;4;2;8;1;3;3;3;3;2;3;3;3;1;2;2;2;4;3;1;1;1;4;1;1;2;5;-99;-99;-99;2;4;3;3;3;4;8;5;2;5;2;5;5;4;7
38;2;62;4;4;4;1;85;93;4;6;1;1;1;2;4;1;3;3;3;4;3;3;3;3;3;4;3;4;3;4;6;2;3;1;2;8;2;3;3;3;4;1;3;4;3;2;3;1;2;4;4;1;1;1;4;3;3;4;5;-99;-99;-99;3;4;4;2;4;4;8;5;3;4;2;3;5;3;1
